Student_ID,Session_ID,Quiz_1_Marks,Quiz_2_Marks,Quiz_3_Marks,Quiz_4_Marks,Quiz_5_Marks,speach,Time_Spent_on_speach,Cumulative_Average_Quiz_Score,Recent_Quiz_Trend,Score
66,400,40,60,100,20,40,The Importance of Exercise,1 min,52.0,Improving,42
96,318,100,100,60,100,80,The Impact of Globalization on Local Cultures,3 min,88.0,Declining,93
99,263,0,0,0,100,20,The Impact of Technology on Education,3 min,24.0,Declining,24
79,444,20,20,80,80,20,The Challenges and Benefits of Urbanization,4 min,44.0,Declining,47
46,95,20,40,40,40,40,The Challenges and Benefits of Urbanization,5 min,36.0,Stable,33
39,135,100,80,60,100,20,The Importance of Exercise,4 min,72.0,Declining,68
64,81,40,100,0,100,60,The Importance of Exercise,5 min,60.0,Declining,70
6,15,60,80,20,60,20,The Impact of Technology on Education,3 min,48.0,Declining,48
10,269,100,100,40,100,20,The Role of Renewable Energy in Combating Climate Change,3 min,72.0,Declining,75
55,93,40,0,0,80,0,The Challenges and Benefits of Urbanization,1 min,24.0,Declining,20
69,206,0,20,20,100,80,The Impact of Technology on Education,5 min,44.0,Declining,53
98,282,0,20,0,40,0,The Impact of Technology on Education,3 min,12.0,Declining,20
81,492,60,20,20,0,0,The Impact of Globalization on Local Cultures,2 min,20.0,Stable,20
60,349,80,40,80,100,20,The Challenges and Benefits of Urbanization,1 min,64.0,Declining,70
48,359,0,80,0,40,100,The Role of Renewable Energy in Combating Climate Change,1 min,44.0,Improving,36
63,460,0,40,100,0,40,The Impact of Technology on Education,3 min,36.0,Improving,39
18,181,20,100,60,60,80,The Importance of Exercise,1 min,64.0,Improving,74
22,293,40,0,0,20,80,The Importance of Exercise,2 min,28.0,Improving,34
25,440,100,100,60,40,100,The Challenges and Benefits of Urbanization,2 min,80.0,Improving,89
58,178,20,100,20,80,0,The Impact of Technology on Education,1 min,44.0,Declining,35
25,72,80,60,60,0,80,The Challenges and Benefits of Urbanization,1 min,56.0,Improving,62
26,317,80,40,0,100,0,The Impact of Globalization on Local Cultures,5 min,44.0,Declining,45
89,218,0,40,0,0,60,The Role of Renewable Energy in Combating Climate Change,4 min,20.0,Improving,20
57,195,40,80,100,100,80,The Impact of Technology on Education,4 min,80.0,Declining,74
44,204,60,20,80,40,80,The Importance of Exercise,1 min,56.0,Improving,47
47,28,20,40,60,40,100,The Importance of Exercise,2 min,52.0,Improving,54
75,352,40,20,80,40,60,The Importance of Exercise,3 min,48.0,Improving,49
75,449,100,100,100,80,20,The Challenges and Benefits of Urbanization,4 min,80.0,Declining,74
90,288,100,100,0,20,60,The Importance of Exercise,1 min,56.0,Improving,48
15,379,100,0,20,0,60,The Importance of Exercise,1 min,36.0,Improving,36
58,255,0,40,0,0,60,The Role of Renewable Energy in Combating Climate Change,2 min,20.0,Improving,20
90,254,40,100,20,40,100,The Challenges and Benefits of Urbanization,3 min,60.0,Improving,52
35,248,60,0,80,40,40,The Challenges and Benefits of Urbanization,5 min,44.0,Stable,51
83,225,20,60,20,20,60,The Challenges and Benefits of Urbanization,5 min,36.0,Improving,38
65,479,0,80,60,20,100,The Importance of Exercise,1 min,52.0,Improving,47
55,411,0,80,60,60,100,The Impact of Globalization on Local Cultures,1 min,60.0,Improving,53
64,489,80,20,80,80,80,The Challenges and Benefits of Urbanization,5 min,68.0,Stable,77
98,81,20,20,60,100,40,The Challenges and Benefits of Urbanization,4 min,48.0,Declining,53
100,454,60,40,0,100,0,The Impact of Technology on Education,3 min,40.0,Declining,42
22,265,20,80,60,100,40,The Challenges and Benefits of Urbanization,1 min,60.0,Declining,60
47,477,100,40,20,80,0,The Importance of Exercise,3 min,48.0,Declining,43
89,110,0,80,80,80,0,The Impact of Technology on Education,1 min,48.0,Declining,51
78,378,40,20,40,100,20,The Role of Renewable Energy in Combating Climate Change,3 min,44.0,Declining,34
17,480,100,0,0,80,100,The Role of Renewable Energy in Combating Climate Change,3 min,56.0,Improving,52
59,491,20,20,60,80,0,The Role of Renewable Energy in Combating Climate Change,3 min,36.0,Declining,29
31,422,80,60,20,60,20,The Importance of Exercise,5 min,48.0,Declining,56
11,242,100,20,0,40,40,The Role of Renewable Energy in Combating Climate Change,1 min,40.0,Stable,43
68,447,40,20,0,0,0,The Challenges and Benefits of Urbanization,5 min,12.0,Stable,20
13,139,80,100,80,0,0,The Importance of Exercise,4 min,52.0,Stable,43
29,400,60,0,0,100,80,The Role of Renewable Energy in Combating Climate Change,3 min,48.0,Declining,48
83,375,20,0,80,0,80,The Impact of Globalization on Local Cultures,5 min,36.0,Improving,36
